food_id,food_name,food_type
1,Apples,Fruit
2,Spinach,Vegetable
3,Almonds,Vegetable
4,Salmon,Fish
5,Chicken Breast,Poultry
6,Beef Steak,Red Meat
7,Pork Chops,Red Meat
8,Chicken Breast,Poultry
9,Turkey Breast,Poultry
10,Spinach,Vegetable
11,Turkey Breast,Poultry
12,Pork Chops,Red Meat
13,Banana,Fruit
14,Carrots,Vegetable
15,Beef Steak,Red Meat
16,Bananas,Fruit
17,Broccoli,Vegetable
18,Salmon,Fish
19,Trout,Fish
20,Turkey Breast,Poultry
21,Lamb Chops,Red Meat
22,Spinach,Vegetable
23,Turkey Breast,Poultry
24,Chicken Breast,Poultry
25,Carrots,Vegetable
