Wildlife_ID,VET_ID,Wildlife_Type,Population,Species
1,1,Carnivore,100,Lion
2,2,Herbivore,200,Elephant
3,3,Omnivore,50,Bear
4,4,Carnivore,75,Tiger
5,5,Herbivore,150,Giraffe
6,6,Omnivore,30,Raccoon
7,7,Carnivore,80,Leopard
8,8,Herbivore,120,Hippopotamus
9,9,Omnivore,40,Fox
10,10,Carnivore,60,Cheetah
11,11,Herbivore,180,Zebra
12,12,Omnivore,35,Panda
13,13,Carnivore,90,Jaguar
14,14,Herbivore,220,Rhino
15,15,Omnivore,45,Opossum
16,16,Carnivore,70,Panther
17,17,Herbivore,130,Kangaroo
18,18,Omnivore,55,Badger
19,19,Carnivore,85,Hyena
20,20,Herbivore,160,Gorilla
21,21,Omnivore,25,Raven
22,22,Carnivore,95,Cougar
23,23,Herbivore,140,Wildebeest
24,24,Omnivore,48,Coati
25,25,Carnivore,65,Lynx
