Tracking_Id,WildLife_Id,Employee_Id,GPS_location,Tracking_Date
1,1,1,"35.6895° N, 139.6917° E",2023-11-25
2,2,2,"40.7128° N, 74.0060° W",2023-11-24
3,3,3,"38.9072° N, 77.0370° W",2023-11-23
4,4,4,"34.0522° N, 118.2437° W",2023-11-22
5,5,5,"37.7749° N, 122.4194° W",2023-11-21
6,6,6,"41.8781° N, 87.6298° W",2023-11-20
7,7,7,"33.7490° N, 84.3880° W",2023-11-19
8,8,8,"38.6270° N, 90.1994° W",2023-11-18
9,9,9,"41.8781° N, 87.6298° W",2023-11-17
10,10,10,"32.7767° N, 96.7970° W",2023-11-16
11,11,11,"40.7128° N, 74.0060° W",2023-11-15
12,12,12,"37.7749° N, 122.4194° W",2023-11-14
13,13,13,"34.0522° N, 118.2437° W",2023-11-13
14,14,14,"33.7490° N, 84.3880° W",2023-11-12
15,15,15,"38.6270° N, 90.1994° W",2023-11-11
16,16,16,"41.8781° N, 87.6298° W",2023-11-10
17,17,17,"32.7767° N, 96.7970° W",2023-11-09
18,18,18,"40.7128° N, 74.0060° W",2023-11-08
19,19,19,"37.7749° N, 122.4194° W",2023-11-07
20,20,20,"34.0522° N, 118.2437° W",2023-11-06
21,21,21,"33.7490° N, 84.3880° W",2023-11-05
22,22,22,"38.6270° N, 90.1994° W",2023-11-04
23,23,23,"41.8781° N, 87.6298° W",2023-11-03
24,24,24,"32.7767° N, 96.7970° W",2023-11-02
25,25,25,"40.7128° N, 74.0060° W",2023-11-01
